"height [mm]","rad [mm]","w1 [mm]","w2 [mm]","Freq [GHz]","dB(S(1,1)) []"
13,13,2.5,2,2.78,-0.979931642872648
13,13,2.5,2,2.79,-1.03653563125078
13,13,2.5,2,2.8,-1.09335166719898
13,13,2.5,2,2.81,-1.15047964253344
13,13,2.5,2,2.82,-1.20804242927177
13,13,2.5,2,2.83,-1.2661797249752
13,13,2.5,2,2.84,-1.32504365961185
13,13,2.5,2,2.85,-1.38479578410621
13,13,2.5,2,2.86,-1.44560512570698
13,13,2.5,2,2.87,-1.50764705847508
13,13,2.5,2,2.88,-1.57110279310407
13,13,2.5,2,2.89,-1.63615933715088
13,13,2.5,2,2.9,-1.70300981470429
13,13,2.5,2,2.91,-1.77185406456189
13,13,2.5,2,2.92,-1.84289945942703
13,13,2.5,2,2.93,-1.91636190678299
13,13,2.5,2,2.94,-1.99246700612031
13,13,2.5,2,2.95,-2.07145134807779
13,13,2.5,2,2.96,-2.15356394961692
13,13,2.5,2,2.97,-2.23906782623749
13,13,2.5,2,2.98,-2.32824170797977
13,13,2.5,2,2.99,-2.42138191096805
13,13,2.5,2,3,-2.51880438087892
13,13,2.5,2,3.01,-2.62084692926283
13,13,2.5,2,3.02,-2.72787168837934
13,13,2.5,2,3.03,-2.84026781538688
13,13,2.5,2,3.04,-2.958454482629
13,13,2.5,2,3.05,-3.08288419768654
13,13,2.5,2,3.06,-3.21404650517497
13,13,2.5,2,3.07,-3.35247213239882
13,13,2.5,2,3.08,-3.49873765348126
13,13,2.5,2,3.09,-3.65347076217602
13,13,2.5,2,3.1,-3.81735626316469
13,13,2.5,2,3.11,-3.991142916459
13,13,2.5,2,3.12,-4.17565130117736
13,13,2.5,2,3.13,-4.37178290560311
13,13,2.5,2,3.14,-4.58053070296322
13,13,2.5,2,3.15,-4.80299154072807
13,13,2.5,2,3.16,-5.04038076081426
13,13,2.5,2,3.17,-5.29404958628785
13,13,2.5,2,3.18,-5.56550596731528
13,13,2.5,2,3.19,-5.85643978960498
13,13,2.5,2,3.2,-6.16875363275076
13,13,2.5,2,3.21,-6.50460065261706
13,13,2.5,2,3.22,-6.86643169251501
13,13,2.5,2,3.23,-7.25705446177284
13,13,2.5,2,3.24,-7.67970864279343
13,13,2.5,2,3.25,-8.13816222093114
13,13,2.5,2,3.26,-8.63683634698245
13,13,2.5,2,3.27,-9.18096886984715
13,13,2.5,2,3.28,-9.7768305920591
13,13,2.5,2,3.29,-10.432013524206
13,13,2.5,2,3.3,-11.1558167322523
13,13,2.5,2,3.31,-11.9597608703218
13,13,2.5,2,3.32,-12.8582594837109
13,13,2.5,2,3.33,-13.8694370178438
